epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3833.93,0.16267,0.34925,0.92733,0.70802,0.90303,0.97424,0.89915,0.39827,0.94718,0.59536,0.00643101,0.00643101,0.00643101
43,3923.18,0.16868,0.36602,0.93835,0.92516,0.91318,0.96139,0.94748,0.30393,0.60778,0.45891,0.00628101,0.00628101,0.00628101
44,4013.25,0.15547,0.33452,0.92408,0.82086,0.85191,0.98582,0.9569,0.35999,0.69201,0.47782,0.00612981,0.00612981,0.00612981
45,4102.12,0.16234,0.33981,0.92003,0.93246,0.79378,0.95341,0.94616,0.31155,0.71755,0.4263,0.00597754,0.00597754,0.00597754
46,4192.88,0.15175,0.34638,0.92504,0.97052,0.9491,0.97752,0.97052,0.30039,0.51603,0.45398,0.00582435,0.00582435,0.00582435
47,4283,0.15716,0.34282,0.93995,0.96585,0.96818,0.99104,0.97167,0.35647,0.63144,0.45532,0.0056704,0.0056704,0.0056704
48,4372.39,0.14906,0.32652,0.92732,0.91593,0.78313,0.96091,0.93332,0.40205,0.8533,0.52424,0.00551584,0.00551584,0.00551584
49,4463.15,0.14619,0.29804,0.92642,0.94536,0.79061,0.9693,0.93569,0.33413,0.80046,0.47495,0.00536081,0.00536081,0.00536081
50,4552.8,0.14212,0.31097,0.92284,0.78887,0.58841,0.79384,0.76263,0.47683,1.57243,0.49946,0.00520548,0.00520548,0.00520548
51,4642.15,0.14069,0.31343,0.91647,0.78779,0.68575,0.84631,0.72849,0.45497,1.03391,0.57269,0.00505,0.00505,0.00505
52,4731.97,0.13443,0.30636,0.91783,0.87137,0.83762,0.95028,0.92602,0.41642,1.0484,0.51838,0.00489452,0.00489452,0.00489452
53,4821.59,0.13119,0.3155,0.91976,0.77366,0.86905,0.92668,0.90778,0.3382,0.88501,0.46162,0.00473919,0.00473919,0.00473919
54,4911.01,0.13903,0.30078,0.91744,0.97975,0.98426,0.98861,0.98751,0.32744,0.46707,0.42315,0.00458416,0.00458416,0.00458416
55,5000.05,0.12969,0.29474,0.92272,0.81443,0.92199,0.9608,0.95828,0.26294,0.71532,0.37195,0.0044296,0.0044296,0.0044296
56,5089.25,0.12601,0.30782,0.91874,0.93647,0.94255,0.97879,0.96604,0.35621,0.54713,0.42915,0.00427565,0.00427565,0.00427565
57,5178.61,0.12303,0.31149,0.91541,0.76839,0.88845,0.94373,0.89314,0.34507,1.1568,0.42444,0.00412246,0.00412246,0.00412246
58,5268.52,0.11919,0.27509,0.91281,0.97756,0.9968,0.99474,0.99072,0.25266,0.36064,0.35661,0.00397019,0.00397019,0.00397019
59,5358.79,0.11926,0.27012,0.91519,0.86647,0.93568,0.9874,0.98618,0.2486,0.49953,0.38214,0.00381899,0.00381899,0.00381899
60,5449.68,0.12035,0.28021,0.91903,0.98247,0.98687,0.99048,0.98284,0.34029,0.42337,0.47473,0.00366899,0.00366899,0.00366899
61,5539.67,0.11904,0.27259,0.91384,0.62281,0.93613,0.97456,0.93297,0.4477,0.79752,0.53883,0.00352037,0.00352037,0.00352037
62,5629.52,0.11141,0.26487,0.91418,0.94485,0.94956,0.99122,0.98577,0.29368,0.50551,0.42292,0.00337325,0.00337325,0.00337325
63,5719.74,0.11294,0.26457,0.92428,0.97179,0.95754,0.98984,0.98483,0.30016,0.47445,0.38821,0.00322778,0.00322778,0.00322778
64,5810.07,0.11618,0.25827,0.91452,0.99192,0.99447,0.99487,0.9864,0.31758,0.42642,0.40436,0.00308412,0.00308412,0.00308412
65,5899.87,0.10821,0.24791,0.91025,0.96454,0.97589,0.99146,0.96957,0.33959,0.42806,0.43323,0.00294239,0.00294239,0.00294239
66,5989.92,0.10371,0.2322,0.90698,0.99048,0.9978,0.9948,0.99402,0.28654,0.43034,0.41347,0.00280275,0.00280275,0.00280275
67,6080.02,0.09667,0.24849,0.91282,0.98043,0.97515,0.99343,0.95214,0.35913,0.5625,0.38643,0.00266532,0.00266532,0.00266532
68,6170.09,0.09496,0.23893,0.90853,0.97928,0.98379,0.99281,0.98912,0.34483,0.58517,0.3673,0.00253024,0.00253024,0.00253024
69,6260.82,0.09677,0.24607,0.9073,0.9761,0.99919,0.99416,0.98911,0.34505,0.41648,0.41855,0.00239766,0.00239766,0.00239766
70,6351.02,0.0874,0.22391,0.90004,0.99225,0.98061,0.99443,0.99358,0.26947,0.43306,0.37238,0.00226769,0.00226769,0.00226769
71,6441.89,0.09142,0.23235,0.90989,0.96196,0.95074,0.98146,0.97746,0.32082,0.58745,0.40379,0.00214046,0.00214046,0.00214046
72,6535.39,0.09096,0.21504,0.90377,0.9828,0.98413,0.99436,0.99379,0.29987,0.42097,0.42662,0.00201611,0.00201611,0.00201611
73,6631.66,0.08496,0.21403,0.90331,0.98323,0.97302,0.99265,0.99243,0.26128,0.40392,0.34145,0.00189475,0.00189475,0.00189475
74,6727.54,0.08751,0.21938,0.90188,0.97951,0.98441,0.99389,0.99265,0.27667,0.42577,0.37656,0.00177651,0.00177651,0.00177651
75,6829.41,0.08349,0.21366,0.90245,0.98759,0.9776,0.99355,0.99325,0.26571,0.46814,0.3789,0.00166149,0.00166149,0.00166149
76,6922.43,0.08167,0.20882,0.8937,0.99414,0.9967,0.9948,0.97291,0.28226,0.40136,0.37999,0.00154982,0.00154982,0.00154982
77,7014.41,0.07687,0.20141,0.89803,0.993,0.99807,0.99474,0.99327,0.29258,0.42087,0.3557,0.00144161,0.00144161,0.00144161
78,7107.58,0.07699,0.21187,0.9054,0.99326,0.98038,0.99467,0.99411,0.28474,0.4066,0.40356,0.00133695,0.00133695,0.00133695
79,7203,0.07165,0.19734,0.89817,0.99323,0.99932,0.9948,0.99465,0.26638,0.36892,0.3685,0.00123596,0.00123596,0.00123596
80,7299.18,0.07217,0.18859,0.90539,0.9938,0.99864,0.99474,0.99428,0.30236,0.41952,0.40137,0.00113873,0.00113873,0.00113873
81,7393.84,0.07094,0.18693,0.89305,0.99412,0.99673,0.99461,0.99405,0.2839,0.40853,0.38297,0.00104537,0.00104537,0.00104537
82,7490.47,0.07254,0.18627,0.90677,0.97697,0.99355,0.99428,0.99282,0.30883,0.44346,0.40881,0.000955951,0.000955951,0.000955951
83,7585.11,0.07201,0.17721,0.90335,0.99404,0.99688,0.99474,0.99413,0.32067,0.44852,0.38011,0.000870577,0.000870577,0.000870577
84,7685.94,0.06332,0.18318,0.89397,0.98416,0.99262,0.99441,0.99293,0.28528,0.42756,0.38023,0.000789327,0.000789327,0.000789327
85,7781.38,0.07041,0.1878,0.90376,0.9941,0.99601,0.99474,0.99323,0.29227,0.40296,0.3905,0.000712282,0.000712282,0.000712282
86,7877.98,0.06136,0.17626,0.89547,0.99329,0.97872,0.99442,0.99218,0.32302,0.47951,0.3804,0.000639518,0.000639518,0.000639518
87,7973.07,0.06216,0.17695,0.89908,0.99259,0.99949,0.99467,0.99415,0.29161,0.38385,0.37395,0.000571106,0.000571106,0.000571106
88,8069.47,0.06715,0.18101,0.89198,0.99507,0.99711,0.99474,0.99398,0.27581,0.36505,0.36441,0.000507115,0.000507115,0.000507115
89,8165.9,0.06044,0.1698,0.90178,0.99249,0.99992,0.99474,0.99424,0.27415,0.3766,0.38448,0.000447606,0.000447606,0.000447606
90,8262.54,0.05975,0.1646,0.90245,0.99348,0.98863,0.99474,0.99378,0.26415,0.39259,0.3704,0.00039264,0.00039264,0.00039264
91,8358.97,0.05892,0.48294,0.93904,0.99656,0.97415,0.99372,0.99372,0.23155,0.46053,0.31139,0.00034227,0.00034227,0.00034227
92,8453.66,0.04931,0.09823,0.92861,0.98883,1,0.99474,0.99474,0.25083,0.49573,0.35049,0.000296546,0.000296546,0.000296546
93,8549.01,0.04274,0.07767,0.91484,0.99766,1,0.995,0.99456,0.22872,0.40322,0.31329,0.000255513,0.000255513,0.000255513
94,8642.12,0.03624,0.06685,0.91314,0.99795,0.99996,0.995,0.99471,0.23047,0.40093,0.32148,0.000219212,0.000219212,0.000219212
95,8735.83,0.03872,0.06531,0.92375,0.99811,0.9976,0.995,0.995,0.22938,0.40473,0.33439,0.000187678,0.000187678,0.000187678
96,8829.33,0.04031,0.06692,0.93024,0.9976,0.99725,0.995,0.99482,0.25145,0.41322,0.35598,0.000160943,0.000160943,0.000160943
97,8927.39,0.03471,0.0525,0.91969,0.99805,0.99741,0.995,0.99486,0.25678,0.41919,0.35782,0.000139032,0.000139032,0.000139032
98,9030.65,0.03472,0.05269,0.92394,0.99786,0.99887,0.995,0.99471,0.24761,0.42209,0.34558,0.000121968,0.000121968,0.000121968
99,9127.18,0.03819,0.07299,0.9172,0.99818,1,0.995,0.99455,0.24361,0.40606,0.34481,0.000109768,0.000109768,0.000109768
100,9214.78,0.0383,0.06093,0.92065,0.99766,1,0.995,0.99455,0.24666,0.40721,0.35027,0.000102443,0.000102443,0.000102443
